Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid services,Continuing Care Retirement Community,Special Focus Facility,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported CNA Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Expected CNA Staffing Hours per Resident per Day,Expected LPN Staffing Hours per Resident per Day,Expected RN Staffing Hours per Resident per Day,Expected Total Nurse Staffing Hours per Resident per Day,Adjusted CNA Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Health Survey Date Under New Process,Number of Health Deficiencies on Survey Under New Process,Severity of Most Severe Deficiency Cited Under New Process,Largest Number of Residents Affected by Deficiency Cited Under New Process,Date of Previous Standard Health Inspection,Number of Health Deficiencies on Previous Standard Health Inspection,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
415083,EASTGATE NURSING & REHABILITATION CENTER,198 WATERMAN AVENUE,EAST PROVIDENCE,RI,2914,4014312087,30,Providence,For profit - Corporation,68,61.1,Medicare and Medicaid,FALSE,198 WATERMAN AVENUE LLC,32388,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,3,,5,,4,,5,,,,2.33293,0.32209,0.78226,1.10435,3.43728,0.11745,1.92629,0.65827,0.30431,2.88887,2.52687,0.36768,0.96409,3.82285,4/24/2018,4,Minimal Harm/Potential for Actual Harm,Some,3/2/2017,0,3/2/2017,0,0,0,0,0,0,0,4/15/2016,1,1,0,8,1,0,8,3.2,0,0,0,0,0,0,"198 WATERMAN AVENUE EAST PROVIDENCE, RI 02914 (41.822023, -71.371287)",10/1/2018
415054,SOUTH KINGSTOWN NURSING AND REHAB CTR,"2115 SOUTH COUNTY TRAIL, PO BOX 307",WEST KINGSTON,RI,2892,4017838568,50,Washington,For profit - Corporation,112,89,Medicare and Medicaid,FALSE,ALLENS HEALTH CENTRE INC,28491,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,3,,3,,3,,4,,,,1.90113,0.54595,0.67176,1.21772,3.11885,0.06469,2.0081,0.65217,0.2946,2.95487,1.97528,0.62907,0.85519,3.39122,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,9/8/2017,1,9/8/2017,1,1,0,0,1,0,0,8/15/2016,3,3,1,16,1,0,16,6.4,2,0,0,0,0,0,"2115 SOUTH COUNTY TRAIL WEST KINGSTON, RI 02892 (41.50255, -71.561723)",10/1/2018
415111,ST CLARE HOME,309 SPRING STREET,NEWPORT,RI,2840,4018493204,20,Newport,Non profit - Corporation,60,53,Medicare and Medicaid,FALSE,"ST. CLARE HOME, INC.",33604,FALSE,FALSE,FALSE,FALSE,Resident,Yes,2,,1,,4,,5,,5,,,,4.58664,0.35508,1.13811,1.49319,6.07983,0,1.95227,0.61306,0.26686,2.83219,4.90181,0.43524,1.59947,6.89713,5/7/2018,4,Minimal Harm/Potential for Actual Harm,Many,3/17/2017,5,3/17/2017,5,5,0,44,1,0,44,5/4/2016,0,0,0,0,0,0,0,26.4,0,0,0,0,0,0,"309 SPRING STREET NEWPORT, RI 02840 (41.482541, -71.312714)",10/1/2018
415094,BALLOU HOME FOR THE AGED,60 MENDON ROAD,WOONSOCKET,RI,2895,4017690437,30,Providence,Non profit - Corporation,43,42.7,Medicare and Medicaid,FALSE,BALLOU HOME FOR THE AGED OF WOONSOCKET RHODE ISLAND,33359,FALSE,FALSE,FALSE,FALSE,Resident,Yes,2,,1,,5,,5,,5,,,,3.16277,0.17787,1.29654,1.47442,4.63718,0.07931,2.02858,0.61812,0.25874,2.90544,3.25295,0.21624,1.87931,5.12793,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,11/10/2017,4,11/10/2017,4,4,1,24,1,0,24,12/1/2016,3,3,0,16,1,0,16,20.8,0,0,0,0,0,0,"60 MENDON ROAD WOONSOCKET, RI 02895 (42.016783, -71.482943)",10/1/2018
415076,JOHN CLARKE RETIREMENT CENTER THE,600 VALLEY ROAD,MIDDLETOWN,RI,2842,4018460743,20,Newport,Non profit - Corporation,60,55.3,Medicare and Medicaid,FALSE,JOHN CLARKE RETIREMENT CENTER,30225,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,3,,5,,4,,5,,,,2.73598,0,1.22728,1.22728,3.96326,0.12691,2.01451,0.69134,0.31687,3.02272,2.83365,0,1.45261,4.21265,8/31/2018,0,None,None,8/18/2017,0,8/18/2017,0,0,0,0,0,0,0,8/19/2016,2,2,0,8,1,0,8,3.2,0,0,0,0,0,0,"600 VALLEY ROAD MIDDLETOWN, RI 02842 (41.50408, -71.289022)",10/1/2018
415070,"CRESTWOOD NURSING & REHABILIATION CENTER, INC",568 CHILD STREET,WARREN,RI,2885,4012451574,0,Bristol,For profit - Corporation,76,62.4,Medicare and Medicaid,FALSE,CRESTWOOD NURSING AND CONVALESCENT HOME INC,29281,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,5,,3,,5,,,,2.36098,0.03642,0.88458,0.921,3.28198,0.10589,2.1887,0.66084,0.29445,3.144,2.25065,0.04141,1.12668,3.35393,1/18/2018,0,None,None,2/3/2017,0,2/3/2017,0,0,0,0,0,0,0,3/17/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"568 CHILD STREET WARREN, RI 02885 (41.731939, -71.255126)",10/1/2018
415056,EVERGREEN HOUSE HEALTH CENTER,1 EVERGREEN DRIVE,EAST PROVIDENCE,RI,2914,4014383250,30,Providence,For profit - Corporation,160,146.7,Medicare and Medicaid,FALSE,"LIFE CARE CENTERS OF AMERICA, INC.",29037,FALSE,FALSE,FALSE,FALSE,Both,Yes,4,,3,,3,,4,,4,,,,2.04476,0.69195,0.77354,1.46549,3.51026,0.06124,2.06988,0.71297,0.33201,3.11486,2.06111,0.7293,0.87381,3.62076,6/26/2018,1,Potential for Minimal Harm,Some,4/14/2017,2,4/14/2017,2,2,2,8,1,0,8,6/10/2016,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,"1 EVERGREEN DRIVE EAST PROVIDENCE, RI 02914 (41.807101, -71.34483)",10/1/2018
415078,COVENTRY SKILLED NURSING AND REHABILITATION,10 WOODLAND DRIVE,COVENTRY,RI,2816,4018262000,10,Kent,For profit - Corporation,210,167.8,Medicare and Medicaid,FALSE,10 WOODLAND DRIVE OPERATIONS LLC,30355,FALSE,FALSE,FALSE,FALSE,Both,Yes,4,,3,,4,,4,,4,,,,2.06734,0.78023,0.91628,1.6965,3.76384,0.10454,2.00762,0.74597,0.43945,3.19304,2.14849,0.78597,0.78198,3.78727,1/9/2018,1,Minimal Harm/Potential for Actual Harm,Some,12/16/2016,1,12/16/2016,1,1,0,8,1,0,8,1/11/2016,3,3,0,4,1,0,4,6.4,1,2,1,53567,0,1,"10 WOODLAND DRIVE COVENTRY, RI 02816 (41.67249, -71.593272)",10/1/2018
415071,SOUTH COUNTY NURSING AND REHABILITATION CENTER,740 OAK HILL ROAD,NORTH KINGSTOWN,RI,2852,4012944545,50,Washington,For profit - Corporation,120,101.8,Medicare and Medicaid,FALSE,740 OAK HILL ROAD OPERATIONS LLC,28976,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,3,,3,,3,,5,,,,2.05875,0.30858,0.85081,1.15939,3.21814,0.10757,1.93838,0.71799,0.35636,3.01272,2.21599,0.32296,0.89542,3.43199,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,11/17/2017,1,11/17/2017,2,1,1,12,1,0,12,12/20/2016,1,1,0,0,1,0,0,7.2,0,1,0,0,0,0,"740 OAK HILL ROAD NORTH KINGSTOWN, RI 02852 (41.560762, -71.488019)",10/1/2018
415063,SCALABRINI VILLA,860 NORTH QUIDESSET ROAD,NORTH KINGSTOWN,RI,2852,4018841802,50,Washington,Non profit - Corporation,120,97.2,Medicare and Medicaid,FALSE,"SCALABRINI VILLA, INC.",28915,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,4,,5,,4,,5,,,,2.41534,0.24977,0.90365,1.15342,3.56876,0.03868,2.09565,0.66046,0.30524,3.06135,2.40471,0.28419,1.11028,3.74545,4/12/2018,3,Minimal Harm/Potential for Actual Harm,Many,2/13/2017,0,2/13/2017,0,0,0,0,0,0,0,3/31/2016,1,1,0,4,1,0,4,1.6,0,0,0,0,0,0,"860 NORTH QUIDESSET ROAD NORTH KINGSTOWN, RI 02852 (41.639968, -71.42324)",10/1/2018
415096,BETHANY HOME OF RHODE ISLAND,111 SOUTH ANGELL STREET,PROVIDENCE,RI,2906,4018312870,30,Providence,Non profit - Corporation,33,26.9,Medicare and Medicaid,FALSE,BETHANY HOME OF RHODE ISLAND,33379,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,3,,2,,5,,5,,,,3.26758,0.02944,1.46433,1.49377,4.76135,0.10991,2.13158,0.81722,0.41643,3.36522,3.19836,0.02707,1.31881,4.54586,6/1/2018,0,None,None,3/16/2017,1,3/16/2017,1,1,0,4,1,0,4,5/5/2016,2,2,0,8,1,0,8,5.6,0,0,0,0,0,0,"111 SOUTH ANGELL STREET PROVIDENCE, RI 02906 (41.829129, -71.383212)",10/1/2018
415113,TOCKWOTTON ON THE WATERFRONT,500 WATERFRONT DRIVE,EAST PROVIDENCE,RI,2914,4012725280,30,Providence,Non profit - Corporation,52,48,Medicare and Medicaid,FALSE,TOCKWOTTON HOME,33604,FALSE,FALSE,FALSE,FALSE,Resident,Yes,2,,1,,5,,5,,5,,,,3.24967,0.51692,1.17858,1.69551,4.94518,0.08241,2.07674,0.70139,0.3324,3.11053,3.26483,0.55381,1.3298,5.10797,1/12/2018,1,Minimal Harm/Potential for Actual Harm,Some,11/23/2016,7,11/23/2016,7,7,1,52,1,0,52,12/16/2015,1,1,0,0,1,0,0,31.2,0,0,0,0,0,0,"500 WATERFRONT DRIVE EAST PROVIDENCE, RI 02914 (41.815275, -71.389054)",10/1/2018
415079,TRINITY HEALTH AND REHABILITATION CENTER,4 ST JOSEPH STREET,WOONSOCKET,RI,2895,4017655844,30,Providence,For profit - Partnership,185,176.6,Medicare and Medicaid,FALSE,"ASLC OPCO RI I, LLC",31126,FALSE,FALSE,FALSE,FALSE,Both,Yes,2,,1,,3,,4,,4,,,,2.19872,0.55712,0.50027,1.0574,3.25612,0,1.76642,0.65605,0.29291,2.71537,2.59705,0.63814,0.64056,3.85275,4/30/2018,12,Minimal Harm/Potential for Actual Harm,Many,3/1/2017,3,3/1/2017,6,3,3,40,1,0,40,5/13/2016,13,13,0,80,1,0,80,56,6,1,1,1063,0,1,"4 ST JOSEPH STREET WOONSOCKET, RI 02895 (41.996882, -71.505102)",10/1/2018
415062,MORGAN HEALTH CENTER,80 MORGAN AVENUE,JOHNSTON,RI,2919,4019447800,30,Providence,For profit - Corporation,120,111.1,Medicare and Medicaid,FALSE,RYAN HEALTH CENTER INC,29007,FALSE,FALSE,FALSE,FALSE,Both,Yes,5,,5,,4,,3,,4,,,,2.25264,0.21678,0.74906,0.96584,3.21848,0.05928,1.98197,0.70032,0.32885,3.01114,2.37137,0.23261,0.85428,3.43416,5/22/2018,4,Minimal Harm/Potential for Actual Harm,Many,3/28/2017,0,3/28/2017,0,0,0,0,0,0,0,5/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80 MORGAN AVENUE JOHNSTON, RI 02919 (41.802319, -71.474736)",10/1/2018
415086,BROOKDALE SMITHFIELD,171 PLEASANT VIEW AVENUE,SMITHFIELD,RI,2917,4012325577,30,Providence,For profit - Corporation,60,50.7,Medicare and Medicaid,FALSE,SENIOR LIFESTYLE NORTH BAY LIMITED PARTNERSHIP,32833,TRUE,FALSE,FALSE,FALSE,Resident,Yes,4,,2,,5,,5,,5,,,,2.97254,0.73158,1.4231,2.15468,5.12722,0.09638,2.35295,0.66802,0.33305,3.35401,2.63583,0.82296,1.60255,4.91153,4/9/2018,2,Minimal Harm/Potential for Actual Harm,Many,1/20/2017,3,1/20/2017,3,3,0,8,1,0,8,7/21/2016,4,4,0,24,1,0,24,14.4,1,0,0,0,0,0,"171 PLEASANT VIEW AVENUE SMITHFIELD, RI 02917 (41.893242, -71.541858)",10/1/2018
415081,WESTERLY HEALTH CENTER,280 HIGH STREET,WESTERLY,RI,2891,4013480020,50,Washington,For profit - Partnership,106,96.3,Medicare and Medicaid,FALSE,WESTERLY HEALTH CENTER ASSOCIATES,31254,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,4,,3,,3,,5,,,,1.55622,0.34047,1.05416,1.39464,2.95086,0.06214,2.04787,0.67865,0.31749,3.04401,1.58551,0.377,1.24528,3.1146,3/8/2018,1,Minimal Harm/Potential for Actual Harm,Few,1/20/2017,0,1/20/2017,0,0,0,0,0,0,0,2/29/2016,1,1,0,4,1,0,4,1.6,11,0,0,0,0,0,"280 HIGH STREET WESTERLY, RI 02891 (41.395666, -71.821379)",10/1/2018
415089,ALPINE NURSING HOME INC,557 WEAVER HILL ROAD,COVENTRY,RI,2816,4013975001,10,Kent,For profit - Corporation,60,57.3,Medicare and Medicaid,FALSE,ALPINE NURSING HOME INC,33218,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,5,,4,,5,,,,2.55131,0,1.17538,1.17538,3.7267,0.3155,2.06847,0.69098,0.30546,3.06491,2.57346,0,1.44313,3.90667,6/4/2018,1,Minimal Harm/Potential for Actual Harm,Few,3/8/2017,1,3/8/2017,1,1,0,0,1,0,0,4/28/2016,1,1,0,0,1,0,0,0,6,0,0,0,0,0,"557 WEAVER HILL ROAD COVENTRY, RI 02816 (41.666068, -71.666421)",10/1/2018
415082,RIVERVIEW HEALTHCARE COMMUNITY,546 MAIN STREET,COVENTRY,RI,2816,4018216837,10,Kent,For profit - Corporation,190,169.5,Medicare and Medicaid,FALSE,RIVERVIEW NURSING HOME. INC.,31478,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,3,,4,,5,,,,2.06996,0.46874,0.77767,1.24642,3.31638,0.05268,1.9653,0.67073,0.30426,2.94029,2.19754,0.52516,0.95861,3.62389,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,7/11/2017,0,7/11/2017,0,0,0,0,0,0,0,7/29/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"546 MAIN STREET COVENTRY, RI 02816 (41.727299, -71.540143)",10/1/2018
